		D0052A	D0053A	D0057A	D0058A	D0063A	D0064A	D0068A	D0069A	D0073A	D0074A	D0078A	D0079A	D0085A	D0086A	D0089A	D0090A	D0095A	D0096A	D0100A	D0101A	D0105A	D0107A	D0110A	D0111A	D0116A	D0117A	D0121A	D0122A	D0127A	D0128A	D0132A	D0133A	D0137A	D0138A	D0142A	D0143A	D0147A	D0148A	D0152A	D0153A	D0158A	D0159A	D0163A	D0164A	D0167A	D0173A	D0174A	D0177A	D0182A	D0187A	D0192A	D0198A	D0203A	D0208A	D0213A	D0270A	D0271A	D0275A	D0276A	D1030A	D1031A
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	-1.971879444	-1.923613793	-4.861439383	-4.857850819	-1.984725204	-1.992955996	-6.764736385	-6.825057484	-2.036494695	-2.067399293	-5.527827139	-5.414471929	-1.906858309	-1.891639159	-3.647884431	-3.737367634	-1.82173351	-1.741900328	-4.425345577	-4.552551028	-2.418998456	-2.379812947	-5.209869881	-5.208086793	-2.287089699	-2.219158048	-5.3165126	-5.355422125	-1.878212785	-1.899299953	-4.933168825	-5.341775123	-1.775239689	-1.761203683	-5.255916523	-5.304269526	-1.899559351	-1.948191332	-5.879168895	-6.056774096	-2.877147408	-2.803628799	-5.038809069	-5.538312537	-1.874794262	-6.751902277	-6.481477596	-2.062020721	-5.287666093	-3.296514689	-5.896681379	-1.795768629	-6.437286883	-2.020015183	-5.996888269	-2.298790392	-2.310910786	-5.81428931	-5.969160267	-3.932174796	-3.993327371
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	-3.655129293	-3.545761029	-9.16327083	-8.824305141	-3.298749328	-3.323818622	-7.314917677	-7.004976233	-3.333484697	-3.281902263	-12.00491478	-12.70010264	-2.808658626	-2.860772399	-10.19357131	-9.385327412	-2.656107654	-2.576664489	-10.29788335	-10.28308531	-3.027169547	-2.812620845	-12.7827604	-10.07677734	-4.388330543	-4.320643562	-9.099800124	-9.168016114	-3.034829486	-3.102834772	-10.31571991	-10.16940031	-2.854651184	-2.904443514	-8.146599553	-8.034405811	-3.237349136	-3.22135883	-6.95479954	-7.139359219	-5.03666902	-4.8770731	-7.460769021	-7.466999911	-3.482645491	-10.52752353	-11.43130419	-3.320575245	-8.858189476	-2.678825469	-7.810769831	-2.720613282	-7.397620286	-2.76801104	-8.397689193	-3.936847858	-3.950135497	-6.541542287	-6.484609925	-10.63263437	-9.90971611
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	-5.835074867	-5.621582072	-1.464737355	-1.282420731	-5.194467698	-5.186625198	-4.888740058	-5.398561814	-8.229771953	-8.157135226	-3.153679622	-3.016023862	-7.804201301	-7.831101442	-3.345754084	-3.295660195	-7.996646114	-7.872703046	-4.746866708	-4.264050409	-9.017729218	-9.947982743	-3.353592176	-3.313015063	-4.133408229	-4.021667852	-3.713214197	-3.786054848	-5.487614718	-5.538938261	-4.117810793	-4.903485768	-6.343238208	-6.138964823	-3.783754776	-3.667293398	-6.045755002	-6.17137961	-6.083707388	-6.198374381	-3.86808397	-3.785785102	-3.237228586	-3.777080178	-5.476133958	-8.036210985	-7.602087261	-6.130951835	-3.862899897	-6.758965946	-6.133965417	-7.240219775	-5.150615895	-9.546168416	-3.048793298	-4.510009654	-4.427049859	-5.450521139	-5.516270238	-3.108941264	-3.234111526
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	-1.971906888	-1.901756175	-4.570519322	-4.689904557	-1.990294087	-2.00555633	-4.362072803	-4.815981221	-2.415394718	-2.476394688	-8.721267043	-8.423313034	-2.111543574	-2.127279541	-6.133589098	-6.032141844	-1.991580851	-1.9331453	-6.905851592	-6.463587284	-2.887170808	-2.660455451	-6.288374237	-6.319320491	-2.384492886	-2.308841111	-5.723412672	-5.788417064	-1.882890039	-1.955009577	-5.22869254	-5.878915344	-1.832676837	-1.841048325	-4.638974053	-4.549027026	-1.901669043	-1.959150855	-4.732650097	-5.119520447	-2.860752286	-2.679513314	-3.623778054	-3.705292901	-1.887328274	-6.362176986	-5.959144396	-2.018507878	-4.675245286	-2.382949292	-5.052438661	-1.797826229	-5.227263628	-2.056542451	-4.264390099	-2.20370483	-2.274614532	-5.134124139	-5.151033006	-6.196149953	-6.157949165
SAR324	D0053A-S2-MaxBin2-006	-1.170219894	-1.089038323	-5.360300372	-5.597730648	-1.442083046	-1.503870289	-8.339533987	-8.740866008	-0.897903564	-0.797657322	-8.763669343	-9.497716891	-0.952231091	-0.928899512	-7.974866575	-7.409525196	-0.851044802	-0.795671852	-8.702300204	-7.90497037	-0.738954873	-0.744880991	-7.923158199	-8.254385833	-1.885087197	-1.745462691	-5.695028304	-6.288731986	-1.372319462	-1.307108386	-7.724988543	-8.209410154	-1.144582007	-1.118432923	-6.536075453	-6.826312813	-1.224408086	-1.244911469	-6.903570348	-7.486449407	-2.310383915	-2.37936516	-6.250882117	-7.271712201	-1.395131651	-11.30517624	-10.72467385	-1.36750754	-8.449337319	-3.449391263	-6.495484913	-0.887257551	-6.850389609	-0.650533651	-6.338930651	-1.967796408	-1.946873336	-6.836412584	-7.003195277	-8.010629386	-7.244827377
Proteobacteria	D0053A-S2-MaxBin2-036	-1.724017622	-1.617036403	-5.456904155	-5.425373699	-2.160856989	-2.150020147	-5.952618635	-5.647452691	-1.532943596	-1.491907971	-6.15875853	-6.001561066	-1.720573567	-1.700700215	-4.431380254	-4.673901163	-1.668680662	-1.572745677	-4.111994795	-4.841616579	-1.672625874	-1.642059244	-5.541198172	-5.547867601	-2.774575222	-2.671677299	-4.588955852	-4.49014954	-2.042203092	-2.063922893	-5.372484817	-5.712268187	-1.86498863	-1.864822535	-5.067202312	-5.12093817	-1.993037075	-2.041347763	-5.144516862	-5.14877506	-3.231569981	-3.207110434	-5.208351625	-5.434285325	-2.125903318	-5.847644346	-5.568782216	-2.195139025	-5.295481711	-2.884934556	-5.253145168	-1.619043191	-5.084700409	-1.637578722	-5.516271158	-2.620878811	-2.610635914	-4.751398878	-4.831957869	-4.640489328	-4.571101085
Proteobacteria	D0053A-S2-MaxBin2-040	-1.91384954	-1.769077515	-7.151869179	-7.299924574	-2.056640739	-2.011281852	-6.320376586	-6.237301149	-2.006347962	-2.07098753	-9.241868449	-9.25381108	-2.044599006	-2.06164586	-7.54882874	-7.299841436	-2.005788997	-1.937763308	-7.568193595	-7.388372473	-2.572016055	-2.337081553	-8.476679612	-8.690830942	-2.730827992	-2.647150864	-6.211391776	-6.875353531	-1.975349519	-1.991683803	-8.762111284	-8.821872909	-1.980241765	-2.0526763	-6.039763004	-6.160909192	-2.040017226	-2.081522946	-4.332307949	-4.408970626	-3.141489689	-2.999011324	-5.909686865	-5.813460029	-1.958092739	-10.42496201	-9.653112565	-2.090458526	-6.45596762	-1.679238783	-5.156169698	-1.898926943	-5.395840365	-2.176359917	-8.250854259	-2.160204279	-2.292565745	-4.037651707	-4.106243211	-7.886152745	-7.260188176
Proteobacteria	D0057A-S3-MaxBin2-011	-6.940298099	-6.448926165	-0.075222915	0.14588196	-6.071692872	-5.962502195	-3.738810267	-4.989476675	-8.916539532	-9.245905065	-5.310617808	-5.217422462	-7.694562669	-7.114934319	-0.976327001	-0.881775638	-7.522628854	-7.565775596	-2.343370047	-1.93958777	-7.297635392	-8.77896765	-1.814401776	-1.817821794	-3.865871749	-3.788107346	-1.547901702	-1.630009764	-8.091771546	-7.888583999	-3.906559259	-4.560008884	-8.522196387	-9.114168109	-6.335295698	-6.464294631	-8.51931469	-8.961488373	-9.960457772	-10.6322387	-6.682408317	-6.623978824	-7.392611983	-8.300641116	-8.250238135	-7.480692327	-7.172745438	-8.774346705	-8.327563198	-8.196831391	-7.910917261	-9.334351399	-7.201460521	-9.430008719	-2.753202009	-7.394487234	-7.117727702	-8.598223003	-8.335703564	-0.691868516	-0.832019069
Proteobacteria	D0057A-S3-MaxBin2-044	-7.441848745	-7.066688293	-1.15025979	-0.959056539	-6.875461966	-6.902634612	-4.551213202	-5.851868532	-11.21680718	-10.29938321	-7.322150744	-7.146682058	-9.348659436	-9.300097369	-2.847023672	-2.760887671	-9.38115313	-9.249772042	-4.269112464	-3.802341588	-9.017301905	-10.68608809	-3.898971103	-3.921197109	-4.969185289	-4.866436682	-3.328632852	-3.437158988	-6.938266209	-6.951052313	-3.675348729	-4.252073476	-7.531896028	-7.519673502	-5.510716101	-5.530815132	-7.923415619	-8.236224453	-7.655000484	-7.849723242	-6.119905649	-5.875721279	-5.644590201	-6.226947618	-8.303780269	-7.078858122	-6.623171852	-8.841121562	-6.442720348	-7.344301695	-6.729367198	-9.426515137	-6.534237014	-9.031568859	-2.241583498	-7.298116724	-6.869804218	-7.184072879	-7.269000938	-2.60210756	-2.710900595
Bacteroidota	D0068A-S7-MaxBin2-001	-4.350652859	-4.381351183	-2.21436205	-2.248490631	-3.68475047	-3.565491851	0.81887343	0.908240012	-5.370673566	-5.391214759	-3.703430773	-3.693478936	-4.986666211	-4.999938974	-0.752633141	-0.643745773	-4.825403725	-4.941933125	-0.010527277	0.305374829	-5.590842427	-5.457603949	-2.340040251	-2.310641852	-2.207872446	-2.597515008	-1.107855008	-1.183835034	-2.831151525	-2.874139243	0.177773397	0.271419603	-3.546707618	-3.567172359	-0.12268155	-0.249225753	-3.575652417	-3.793827877	-0.286807853	-0.270150439	-1.323922557	-1.17093817	-1.029827916	-0.634206421	-3.244613285	-0.708366162	-0.587819776	-3.680168901	-0.722712064	0.12800211	0.650834232	-5.017998033	-0.131857137	-6.009128113	-0.081038702	-2.154871234	-1.727944792	1.015058926	0.919330627	-1.01300388	-0.740300465
Proteobacteria	D0068A-S7-MaxBin2-037	-7.305755767	-7.451682516	-5.568393471	-5.71751534	-6.658728643	-6.723592834	-2.045525945	-1.951867089	-9.217909143	-9.419952759	-7.995060929	-7.962233656	-8.91794587	-8.532205819	-4.809988794	-4.785815708	-8.495703654	-8.254204891	-5.057107597	-4.662294765	-10.49989866	-10.16788236	-6.329715517	-6.276541536	-6.024632037	-6.053320377	-5.378014554	-5.440819021	-5.488027834	-5.550619863	-4.093438593	-4.501088858	-6.104226072	-6.097927937	-3.967012808	-4.111260778	-6.788352755	-6.964741442	-4.161607944	-4.067354474	-5.127376727	-4.780784725	-4.409646989	-4.437377666	-6.593428963	-5.238641411	-4.774855083	-6.703810939	-4.363344282	-4.721789849	-4.014590869	-8.094150053	-4.368803329	-10.88804096	-4.428832329	-5.330711228	-5.342304573	-3.980705354	-4.051770765	-5.061009548	-4.842650646
Thermoplasmatota	D0073A-S9-MaxBin2-002	-2.157361994	-2.137286178	-5.915863838	-6.001575652	-2.163323667	-2.202823961	-3.858907637	-3.133534579	-1.846975557	-2.105918947	-6.411812619	-6.296082289	-2.015239845	-1.952861608	-4.368654363	-4.757636751	-1.933055251	-1.872874555	-4.686846185	-4.828520571	-2.461729769	-2.474669972	-6.086386314	-5.409433302	-2.351905062	-2.409371458	-5.299110881	-5.48425955	-2.129791609	-2.129811633	-4.029661589	-4.244145904	-2.015246222	-1.99819576	-5.192988163	-5.231902613	-2.149432039	-2.15360851	-5.519346156	-5.3784965	-3.22352263	-3.207268575	-5.793648814	-6.0041937	-2.161464587	-3.091547051	-3.637232004	-2.321271328	-5.269556805	-2.816394313	-4.616818212	-2.03630427	-4.701493659	-2.259571045	-4.047542945	-2.643843837	-2.657083963	-5.519679256	-5.500192209	-4.573136003	-5.053868161
SAR324	D0073A-S9-MaxBin2-038	-3.195872419	-3.08412531	-7.875291938	-8.042018735	-3.446473625	-3.47731811	-10.79804448	-11.23106718	-2.235413096	-2.554663743	-10.9282308	-11.43608823	-2.876646957	-2.858031741	-9.290169115	-9.673106892	-2.804531487	-2.746690811	-7.975316879	-7.591443002	-2.376607743	-2.370391979	-10.1670492	-10.38541689	-3.750246604	-3.669988301	-7.663900025	-7.272271788	-3.624208442	-3.58406239	-10.7933354	-10.06508169	-3.466400315	-3.435872029	-8.778703616	-9.13402667	-3.484815029	-3.515064039	-9.300448028	-9.374947952	-4.554063754	-4.598556703	-8.436830673	-9.51835931	-3.647070248	-7.807568268	-7.700897904	-3.700556648	-10.98632378	-5.721347887	-7.001415291	-3.136948824	-9.295421359	-3.212136808	-6.669473767	-4.321161853	-4.26385619	-8.895017355	-9.382730093	-9.720987912	-9.511398844
Bacteroidota	D0073A-S9-MaxBin2-048	-2.591011349	-2.118217664	-4.826735171	-4.895311881	-2.319927192	-2.229397263	-6.40250529	-6.900418162	-2.228791182	-2.39262205	-6.584651576	-6.66213644	-2.769321633	-2.746493137	-5.756526189	-5.509373269	-2.787451167	-2.75686844	-6.652347152	-6.326800454	-3.585947377	-3.49021094	-5.857609757	-5.91594855	-1.428114266	-1.40408292	-4.256393038	-4.674820202	-2.216136507	-2.19134617	-6.824370838	-7.034034745	-2.399610167	-2.41648417	-5.319986332	-5.541088688	-2.577576026	-2.595404325	-4.240556378	-4.356802729	-2.267688861	-2.275142597	-5.208615722	-5.339393498	-1.969764293	-8.987912917	-8.556976611	-2.865218284	-6.383490112	-2.86197075	-4.160728529	-2.932357104	-5.673040751	-3.124522671	-5.023948827	-2.344233356	-2.299236396	-4.492362529	-4.570752528	-5.797670386	-5.43584448
SAR324	D0074A-S10-MaxBin2-037	-3.157448208	-3.040091433	-7.398008474	-7.68763642	-3.416546245	-3.409843129	-10.0693716	-11.48178549	-2.583597047	-2.170816394	-11.34071199	-10.29148924	-2.851475595	-2.848439369	-8.42596442	-9.307267042	-2.793140748	-2.737949241	-7.384172503	-7.17641045	-2.371363191	-2.358168937	-9.979873795	-10.03157891	-3.661679237	-3.581377353	-7.25219481	-6.993489762	-3.589445208	-3.55288191	-9.941201299	-10.34390262	-3.438321814	-3.412972204	-8.667929748	-8.608452871	-3.441113287	-3.480532287	-9.183217739	-9.659459512	-4.441984814	-4.509294348	-8.372885683	-9.794503291	-3.599565616	-7.44529079	-7.032153421	-3.676124624	-10.2035855	-5.692192657	-6.690023304	-3.115680294	-8.792005634	-3.216535715	-6.190192061	-4.227672753	-4.161619496	-9.055943574	-9.138469486	-9.792232587	-9.285445931
