		1903buk1_0m-2	1903buk2_0m-1	1903buk2_0m-2	1903buk3_0m-1	1903buk3_0m-2	1903buk4_0m-1	1903buk4_0m-2	1903_buk5-1	1903_buk5-2	1903_buk6-1	1903_buk6-2	1903c111_100m-1	1903c111_100m-2	1903c111_100m-3	1903c111_10m-1	1903c111_10m-2	1903c111_5m-1	1903c111_5m	1903c114_100m-1	1903c114_100m-2	1903c114_100m-3	1903c114_10m-1	1903c114_10m-2	1903c114_5m-1	1903c114_5m-2	1903c117_100m-1	1903c117_100m-2	1903c117_100m-3	1903c117_50m-1	1903c117_50m-2	1903c117_5m-1	1903c117_5m-2	1903c118_100m-1	1903c118_100m-2	1903c118_100m-3	1903c118_23m-1	1903c118_23m-2	1903c118_5m-1	1903c118_5m-2	1903c119_100m-1	1903c119_100m-2	1903c119_100m-3	1903c119_11m-1	1903c119_11m-2	1903c119_5m-2	1903c122_100m-1	1903c122_100m-2	1903c122_100m-3	1903c122_28m-1	1903c122_28m-2	1903c122_5m-1	1903c122_5m-2	1903c123_10m-1	1903c123_10m-2	1903c123_5m-1	1903c123_5m-2	1903c123_70m-1	1903c123_70m-2	1903c123_70m-3	1903c124_100m-2	1903c124_100m-3	1903c124_15m-1	1903c124_15m-2	1903c124_5m-1	1903c124_5m-2	1903c126_100m-1	1903c126_100m-2	1903c126_100m-3	1903c126_45m-1	1903c126_45m-2	1903c126_5m-1	1903c126_5m-2	1903c127_100m-1	1903c127_100m-2	1903c127_100m-3	1903c127_5m-1	1903c127_5m-2	1903c127_7m-1	1903c127_7m-2	1903c129_100m-1	1903c129_100m-2	1903c129_100m-3	1903c129_26m-1	1903c129_26m-2	1903c129_5m-1	1903c129_5m-2	1903c134_12m-1	1903c144_13m-1	1903c144_13m-2	1903c144_5m-1	1903c144_5m-2	1903c144_60m-1	1903c144_60m-2	1903c144_60m-3	Las19c107_10m-1	Las19c107_10m-2	Las19c107_5m-1	Las19c107_5m-2	Las19c107_75m-1	Las19c107_75m-2	Las19c107_75m-3	Las19c135_13m-1	Las19c135_13m-3	Las19c135_5m-1	Las19c135_5m-2	Las19c135_70m-1	Las19c135_70m-2	Las19c135_70m-3	Las19c138_100m-1	Las19c138_100m-2	Las19c138_12m-1
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.085363914	-0.875322362	-0.763095506	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.984038662	-1.02513815	-0.933227475	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.752169062	-0.585571313	-0.708914736	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.147684848	-1.151697922	-0.993354836	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.113815115	-1.121150821	-1.845160873	-20.72326584	-20.72326584	-20.72326584	-0.815314496	-1.075223508	-0.715474795	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.363849184	-2.57768978	-2.619502504	-1.076295762	-0.956589527	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.731872639	-1.292035494	-1.369047267	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.65380705	-1.21741143	-0.647015402	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.968380314	-0.946710247	-0.931154272	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.048071462	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.413133445	-1.505331078	-1.645761856	-20.72326584	-20.72326584	-20.72326584	-2.714705383	-1.197493603	-0.927632505	-1.442240353	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.73407163	-1.262718709	-1.337520574	-0.865116623	-0.904924199	-20.72326584
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.137598921	-1.484419643	-1.465702306	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.461946481	-1.355145907	-1.139648803	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.664535957	-1.580946762	-1.698711514	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.235908366	-2.123177102	-1.909772957	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.415523476	-1.386353119	-2.591629146	-20.72326584	-20.72326584	-20.72326584	-1.529770809	-1.962444087	-1.356366109	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.904672368	-3.630844498	-3.678070047	-1.438694495	-1.351522603	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.648098403	-1.466525369	-1.930405168	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.329984801	-2.398247114	-1.452414117	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.706176531	-1.520731668	-1.478525266	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.880700147	-3.005739358	-3.124315972	-20.72326584	-20.72326584	-20.72326584	-4.602755404	-2.55242598	-1.768320632	-2.70986964	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.337091645	-2.605627453	-2.572854044	-2.143676194	-2.312758861	-20.72326584
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	-20.72326584	-20.72326584	-2.05803486	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.818347542	-0.826688034	-2.220858748	-2.714545787	-20.72326584	-20.72326584	-20.72326584	-2.10511838	-2.148889622	-2.232077693	-2.051199793	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.822718918	-20.72326584	-2.53478035	-2.649817459	-2.43759242	-20.72326584	-4.459800864	-4.305306363	-4.276594978	-1.246945822	-1.302540624	-1.054655986	-0.966533339	-20.72326584	-20.72326584	-2.731662372	-20.72326584	-2.461934732	-2.604824193	-20.72326584	-20.72326584	-20.72326584	-1.705911473	-1.000121569	-0.796573898	-0.77205994	-3.213373466	-3.416421046	-3.418504194	-3.201008623	-2.99486477	-2.772647588	-2.821605855	-4.422418139	-4.205205444	-3.006045452	-3.16998338	-2.502940332	-2.492662396	-20.72326584	-20.72326584	-20.72326584	-1.493129693	-1.451091173	-0.826228387	-1.149119215	-20.72326584	-20.72326584	-20.72326584	-1.806318128	-1.843097811	-2.901023456	-2.878483514	-20.72326584	-20.72326584	-20.72326584	-1.358080653	-1.29977239	-1.174435747	-0.980330175	-2.340024887	-1.981966209	-2.97635815	-2.171542576	-2.156793271	-20.72326584	-20.72326584	-20.72326584	-2.898270646	-2.508500099	-3.17484193	-2.818970376	-4.665628297	-20.72326584	-20.72326584	-2.32098839	-20.72326584	-2.385061449	-2.864793208	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.801838155
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.738645716	-0.138661097	-0.085373917	-1.890792969	-1.330486589	-2.54535797	-1.923074707	-0.810668988	-0.715032525	-0.505985023	-20.72326584	-1.859257816	-20.72326584	-20.72326584	-0.062742906	-0.04247057	-0.084112277	-3.01624358	-20.72326584	-20.72326584	-20.72326584	-0.913167362	-0.873940352	-0.64441054	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.579744746	-0.563891803	-1.54506315	-20.72326584	-20.72326584	-20.72326584	-0.008922022	-0.680847333	0.07389245	-2.850393666	-1.666993135	-20.72326584	-20.72326584	-1.967738456	-1.842972508	-1.906950406	-1.924591625	-0.40375487	-0.918647128	-1.243697724	-0.418823681	-0.367604164	-2.270567268	-2.165373522	-1.922094529	-2.297318874	-1.698712662	-0.566673571	-0.930508905	-20.72326584	-2.854499535	-20.72326584	-20.72326584	-0.075611763	-1.088705936	-0.093974032	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.462266056	-0.315095941	-0.213235794	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.127322215	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.216937919	-1.347079529	-1.502699867	-2.903930277	-2.118150429	-2.864546988	-2.282550228	-0.909522436	-0.219261844	-1.122511347	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.552990091	-0.846189879	-0.911315551	-0.657928888	-0.762802984	-20.72326584
SAR324	D0053A-S2-MaxBin2-006	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.437827849	-2.494491748	-2.390277545	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.553489804	-1.899417348	-2.085873696	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.463338159	-2.025982818	-2.248131274	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.859605464	-1.836840891	-1.928934055	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.741824573	-2.95770741	-2.654797139	-20.72326584	-20.72326584	-20.72326584	-2.407676078	-1.442845492	-2.238303477	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.085761641	-2.900068502	-2.92221798	-2.364788412	-2.067249756	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.254036921	-2.710797707	-2.021580785	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.969670527	-1.154895916	-2.080416889	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.918975411	-2.174608139	-2.343103738	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.068877303	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.605939135	-1.579806923	-1.843987952	-3.317648891	-3.781529667	-3.800444914	-2.581444586	-1.441286103	-2.407082304	-1.837600218	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.59214647	-1.69035885	-1.693768118	-1.171765826	-1.147798475	-20.72326584
Proteobacteria	D0053A-S2-MaxBin2-036	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.033596191	-1.171486992	-1.068083944	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.792795595	-0.922662989	-0.912532999	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.251320975	-1.119933874	-1.233047297	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.139892604	-1.128991496	-1.125897474	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.144514224	-1.151667552	-1.796975443	-20.72326584	-20.72326584	-20.72326584	-1.106777793	-1.001114954	-1.004735078	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.226155684	-20.72326584	-20.72326584	-3.257831047	-2.781394193	-2.657771331	-2.671052423	-1.275481799	-1.18569912	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.747968457	-0.895124939	-0.697570608	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.8665484	-1.034256188	-0.918942317	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.879072019	-0.963465936	-1.006331882	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.716623198	-1.7998842	-1.868798641	-3.20846988	-2.88619145	-3.459662193	-2.627824343	-1.233650458	-1.246745481	-1.313082038	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.846892308	-1.566548069	-1.652444265	-0.988847712	-0.994214434	-20.72326584
Proteobacteria	D0053A-S2-MaxBin2-040	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.133368123	-1.095930385	-0.971842023	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.086315581	-1.181161567	-1.164895752	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.104548973	-0.940911344	-1.126388313	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.475453274	-1.413511074	-1.340479128	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.915381568	-0.872279107	-1.656772941	-20.72326584	-20.72326584	-20.72326584	-1.089761767	-1.148484106	-0.979973457	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.571248074	-3.68703855	-20.72326584	-3.675313292	-2.697347366	-2.694179619	-2.731314104	-1.328121869	-1.276655686	-3.32924034	-20.72326584	-4.144505656	-20.72326584	-1.683903405	-1.612692749	-1.736526612	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.950902102	-1.15869432	-1.050175155	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.390502399	-1.3585399	-1.28986001	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.575259646	-1.694943781	-1.71760274	-3.487040343	-2.939492252	-3.648526267	-2.884526286	-1.557401827	-1.367796424	-1.603940794	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.700834156	-1.417616452	-1.544253345	-1.130331152	-1.223396798	-20.72326584
Proteobacteria	D0057A-S3-MaxBin2-011	-20.72326584	-20.72326584	-1.512485441	-1.219221812	-20.72326584	-20.72326584	-20.72326584	-0.856945278	-0.869218707	-2.608386996	-3.057292514	-20.72326584	-20.72326584	-20.72326584	-1.68068437	-1.69986564	-1.764906688	-1.637251699	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.710896533	-2.630151891	-1.976451971	-20.72326584	-20.72326584	-20.72326584	-4.478434016	-0.638102898	-0.648670609	-0.442714272	-0.350749248	-20.72326584	-20.72326584	-2.553949495	-20.72326584	-2.132546573	-2.455233474	-20.72326584	-20.72326584	-20.72326584	-1.180402444	-0.292494164	-0.439776249	-0.895665597	-2.664898747	-2.75882836	-2.807768481	-2.681015392	-2.312626429	-2.361563983	-2.432648153	-20.72326584	-20.72326584	-2.654399	-2.941678501	-2.53267149	-2.422408404	-20.72326584	-20.72326584	-20.72326584	-1.463368249	-1.407520772	-0.161561551	-0.681639961	-20.72326584	-20.72326584	-20.72326584	-1.497233381	-1.6125192	-2.87363525	-2.880082926	-20.72326584	-20.72326584	-20.72326584	-1.235723633	-0.979775939	-0.651259448	-0.392505842	-3.371049219	-20.72326584	-20.72326584	-3.330411451	-3.3025107	-20.72326584	-20.72326584	-20.72326584	-2.66246501	-1.998905041	-2.84528233	-2.502262821	-4.967381283	-20.72326584	-20.72326584	-2.940741639	-20.72326584	-2.832564909	-3.417020469	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	D0057A-S3-MaxBin2-044	-20.72326584	-20.72326584	-1.958003604	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.80372453	-2.90052599	-3.063220613	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.338215576	-2.328126813	-2.50107724	-2.323822764	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.931233621	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.086760492	-2.115180668	-2.545687695	-20.72326584	-20.72326584	-4.421530498	-4.104216975	-20.72326584	-20.72326584	-1.660799046	-1.497752984	-20.72326584	-20.72326584	-2.037212121	-20.72326584	-1.588574666	-1.752293953	-20.72326584	-20.72326584	-20.72326584	-1.37486164	-0.482756554	-2.185009323	-2.646987158	-2.766449033	-2.870542849	-2.853173359	-2.702397194	-2.127536579	-2.238941635	-2.281879139	-20.72326584	-20.72326584	-2.699482791	-2.872026298	-2.563248661	-2.436559704	-20.72326584	-20.72326584	-20.72326584	-3.073395395	-3.038096478	-1.911874628	-2.424637581	-20.72326584	-20.72326584	-20.72326584	-1.757084161	-1.785142027	-3.114622955	-3.037876121	-20.72326584	-20.72326584	-20.72326584	-1.808686419	-1.584045247	-1.05161052	-0.842869627	-20.72326584	-20.72326584	-20.72326584	-3.992335308	-3.92447815	-20.72326584	-20.72326584	-20.72326584	-1.510666181	-0.8943634	-1.719744691	-1.453329902	-4.509538331	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.190608852	-3.681545414	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Bacteroidota	D0068A-S7-MaxBin2-001	-20.72326584	-20.72326584	-1.917272823	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-0.695414146	-0.367829495	-20.72326584	-20.72326584	-20.72326584	-1.489072077	-1.616244067	-1.06901563	-1.577544309	-20.72326584	-20.72326584	-20.72326584	-0.930127112	-1.08350153	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.544861247	-1.635408852	-1.481258656	-1.498319655	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.981141284	-0.922321327	-1.363873044	-1.494633081	-20.72326584	-20.72326584	-20.72326584	-1.922764198	-20.72326584	-20.72326584	-20.72326584	-1.892597553	-1.901812571	-1.885068951	-2.086432151	-20.72326584	-2.087090392	-1.842509957	-20.72326584	-20.72326584	-1.095057412	-1.101170876	-1.380216266	-1.000275863	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.24939878	-0.937884863	-0.691190614	-0.689213625	-20.72326584	-20.72326584	-20.72326584	-2.547785736	-20.72326584	-1.655600282	-2.821076843	-20.72326584	-1.623731374	-1.107766114	-1.123297248	-1.152925599	-20.72326584	-20.72326584	-20.72326584	-0.766473791	-1.593208667	-0.730653052	-1.025273073	-3.94197054	-20.72326584	-3.653725924	-1.453375628	-0.7917142	-1.170519328	-0.928291451	-1.594024408	-3.080188046	-2.952634222	-20.72326584	-20.72326584	-0.42178963
