		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	0.0707163	0.010598968	0.002766975	0.08534596	0.004342188	0.003006988	0.015832193	0.021520486	0.011754009	0.015928159	0.08035298	0.010863573	0.03776658	0.07430186	0.005413981	0.021632785	0.006059275	0.12246568	0.16918145	0.1170095	0.01197146	0.009087186	0.15744601	0.06735616	0.011390152	0.009082848	0.115486406	0.049611922	0.01773908	0.0234912	0.13681228	0.13553888	0.13965113	0.037541762	0.01938649	0.24390127	0.056769874	0.14904995	0.11972486	0.007630014	0.13707495	0.007143116	0.006029763	0.009411613	0.007314865	0.007041632	0.038914	0.007682183	0.119595826	0.13445543	0.010967677	0.00507749	0.11661051	0.01613242	0.009515164	0.018047715	0.012571018	0.00698019	0.04403345	0.1424332	0.051900737	0.006905825	0.13641278	0.006311943	0.006729576	0.010719854	0.010874298	0.12057111	0.20965827	0.022392342	0.007450078	0.046832632	0.007558727	0.013911184	0.020059189	0.014307472	0.010261679	0.00862249	0.19008961	0.021886166	0.018418174
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	0.015479744	0.000236264	0.000151646	0.010897463	0.000480217	0.001002284	1.89E-05	0.000366056	5.29E-05	0.00032116	0.012405272	5.41E-05	0.004824623	0.012737171	0.002449512	0.002823192	0.001914975	0.042903442	0.084754005	0.017737355	0.002905247	0.002590733	0.030147254	0.010854901	0.000743863	0.000710827	0.013316825	0.003024185	0.001004351	0.00391094	0.04716523	0.056115273	0.07826048	0.005177946	0.003030757	0.07876506	0.00330205	0.04669288	0.009221224	0.000251588	0.050958566	0.000113946	2.90E-05	0.000216214	0.000410441	0.000170229	0.006983531	9.17E-05	0.13196285	0.053825825	9.56E-05	4.84E-06	0.07466711	0.003293074	4.56E-05	0.00258738	0.000184768	4.92E-05	0.013571557	0.079001576	0.008525522	8.93E-05	0.046549533	0.000161634	6.72E-05	0.000537742	0.000118645	0.03433672	0.09299904	0.001911416	0.000224104	0.007452136	1.81E-05	4.79E-05	0.000176146	0.001597748	0.000233333	0.000262427	0.0713844	0.001694652	0.001783743
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	0.038496383	0.07366778	0.022465624	0.038496614	0.07766071	0.08186819	0.0348025	0.033220883	0.029068807	0.033506304	0.019465946	0.04441868	0.04622843	0.025144659	0.054281987	0.056210756	0.06148349	0.010724544	0.00433725	0.022898832	0.050029803	0.040762004	0.013106499	0.029007114	0.032591462	0.043729573	0.018753791	0.07113708	0.058105975	0.04096667	0.007988982	0.006117903	0.003518862	0.03826487	0.04420837	0.000403119	0.046230342	0.003652633	0.023309575	0.0721963	0.004219428	0.063279495	0.05777963	0.025119275	0.030684914	0.022885201	0.03685136	0.037412655	0.002114349	0.00148087	0.05943199	0.10068368	0.001644706	0.06600072	0.06790382	0.07222686	0.06390166	0.030520128	0.02708382	0.001232672	0.02770504	0.02706429	0.006018407	0.035565693	0.03203051	0.044898454	0.054609705	0.005520936	0.000152396	0.066077024	0.042076178	0.025633227	0.024239676	0.03680415	0.037962947	0.017924191	0.024822447	0.025032228	0.000217522	0.029603112	0.034526154
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	0.10828779	0.006078039	0.002885649	0.10264396	0.026563535	0.05905875	0.002993574	0.006045528	0.003235748	0.007613785	0.08801945	0.004619214	0.08863606	0.105724126	0.029696055	0.0546179	0.01814905	0.17072514	0.2272745	0.13804543	0.025097543	0.03669817	0.18765539	0.070684694	0.025058093	0.030701263	0.12711522	0.06128928	0.031494323	0.064734936	0.1919601	0.17191531	0.17352328	0.06943436	0.041113805	0.3037294	0.05899182	0.14536679	0.085768506	0.014811123	0.121014	0.00869744	0.006650827	0.010147571	0.006614205	0.025822004	0.029583778	0.003346502	0.114681676	0.10847125	0.004848877	0.003137815	0.12120235	0.02320272	0.003914123	0.017695295	0.009058624	0.006410583	0.05052728	0.1347838	0.04461667	0.005827302	0.10762413	0.005318536	0.005350262	0.02631801	0.009932312	0.14785281	0.3061693	0.054172885	0.009821193	0.044219516	0.002039997	0.001426637	0.004381089	0.009149706	0.003349279	0.003715066	0.23135836	0.018158134	0.017166505
SAR324	D0053A-S2-MaxBin2-006	0.13245757	0.018565627	0.005193532	0.22449756	0.003851499	0.000249987	0.001462897	0.004814872	0.000195547	0.007472804	0.101789154	0.000383411	0.10348223	0.11534937	0.008086884	0.067227155	0.009975662	0.2361208	0.37691513	0.213159	0.02284843	0.016759364	0.29026103	0.13534075	0.006195991	0.005053774	0.18488204	0.10214899	0.027542906	0.040629018	0.28863657	0.3525992	0.36368844	0.09547471	0.036054756	0.5064461	0.10167629	0.3948169	0.17886871	0.002358527	0.2955916	0.000262371	0.000160121	0.003287182	0.005271885	0.002403598	0.06909754	0.000734265	0.46859777	0.3555301	0.007620264	6.23E-05	0.2384244	0.02943162	0.000723685	0.02594424	0.002600143	0.001541124	0.08949168	0.4272877	0.09239072	0.001611477	0.19784376	0.002040844	0.000633403	0.005672577	0.000378125	0.17445481	0.4577094	0.058737315	0.003705963	0.07504062	7.06E-05	0.000906509	0.004972735	0.06119484	0.012773528	0.01219818	0.5579784	0.045020092	0.03353429
Proteobacteria	D0053A-S2-MaxBin2-036	0.046124127	0.00984079	0.00408623	0.03914993	0.004874364	0.003905873	0.006575844	0.00817066	0.007515484	0.007127826	0.037023943	0.006553541	0.019939797	0.0301376	0.007745421	0.014842707	0.007861415	0.08932224	0.17953977	0.08054858	0.010539486	0.009988604	0.10192745	0.041922305	0.007026892	0.006718432	0.06270117	0.023553615	0.01250465	0.018630117	0.10207513	0.09732909	0.13449033	0.020463383	0.012416909	0.20614144	0.025637398	0.18927696	0.07514077	0.004822563	0.14159474	0.004456853	0.003850814	0.009108015	0.010138843	0.00863643	0.024450092	0.003883822	0.20004162	0.17974474	0.004206443	0.00250598	0.12148323	0.015436612	0.005916504	0.014813759	0.007264649	0.007209041	0.03937803	0.18893668	0.03805134	0.007687969	0.10868247	0.006496377	0.006036088	0.008212462	0.004802278	0.06222585	0.2229653	0.015262937	0.005829552	0.019725868	0.005958982	0.006178211	0.00744355	0.01575962	0.010888213	0.00921024	0.16857243	0.015627155	0.014502155
Proteobacteria	D0053A-S2-MaxBin2-040	0.052828778	0.002503578	0.002197787	0.03879338	0.000164393	3.79E-05	0.001503249	0.004854809	0.000416142	0.002672674	0.05680236	0.000570191	0.014679234	0.03169381	0.00082535	0.005527792	0.000736452	0.08388648	0.15181485	0.06556795	0.004471418	0.007152392	0.09439154	0.04665987	0.001025443	0.000744196	0.07326227	0.021856096	0.004181282	0.021088911	0.08855206	0.07400022	0.09921357	0.013911789	0.009236706	0.1474935	0.022040648	0.1186247	0.060522232	0.001199821	0.115218736	0.000197465	0.000253491	0.001685744	0.003153554	0.001681927	0.021969648	0.000397869	0.13289358	0.10593726	0.001086785	7.13E-05	0.122611724	0.010700001	0.000211334	0.009232162	0.001293242	0.001034796	0.029362783	0.13757166	0.032406546	0.001004903	0.11932002	0.001427241	0.000717944	0.002292842	0.001283492	0.06682962	0.14029303	0.00824785	0.000666851	0.016115423	0.000365842	0.000806488	0.002699227	0.015961463	0.002985859	0.002349161	0.102472484	0.00570431	0.005612885
Proteobacteria	D0057A-S3-MaxBin2-011	0.000749171	0.002421037	0.001706814	0.000607549	0.009267465	0.04538419	0.000295642	0.000200405	0.000243937	0.00031382	0.000236568	0.000376683	0.002036925	0.001472352	0.005451744	0.004043881	0.005898173	0.000857276	0.000287814	0.001550606	0.004458841	0.003916082	0.000687773	0.002758818	0.008760231	0.013715403	0.000732616	0.011560986	0.013365172	0.001170114	0.000511342	0.000487018	0.000362835	0.003473154	0.001496502	0.000134744	0.008616787	0.001963254	0.00903559	0.04909903	0.003025898	0.041901715	0.037654728	0.003923468	0.004726133	0.0039531	0.072585486	0.098459154	0.002173151	0.002074786	0.0804038	0.15522738	0.001349754	0.05942077	0.17503452	0.06519591	0.08057854	0.009795407	0.006373447	0.000622997	0.006447265	0.007050212	0.00031294	0.008409498	0.007969156	0.000566782	0.000493855	0.000131204	7.25E-05	0.006570132	0.004129177	0.000310796	0.000378002	0.000400569	0.000429475	0.000176717	0.000412388	0.000458759	2.51E-05	0.000379159	0.000449013
Proteobacteria	D0057A-S3-MaxBin2-044	0.034332152	0.31802008	0.2688004	0.010727512	0.968319	1.7802904	0.009199924	0.00590821	0.015677825	0.009243117	0.002696564	0.009632777	0.22191094	0.10672318	0.73951864	0.7519207	1.0770575	0.016075555	0.002235177	0.10109395	0.5873665	0.6087641	0.061497048	0.04533916	0.1671127	0.21013658	0.011368844	0.21082933	0.18261197	0.10978083	0.018867811	0.018166468	0.005761303	0.1569864	0.09594245	0.000553399	0.17681757	0.001133004	0.00990908	0.059226036	0.001464157	0.04287808	0.03992788	0.043622483	0.04905526	0.04788058	0.006988094	0.011866873	0.000482229	0.000145895	0.026457146	0.017305827	0.000898263	0.029865911	0.0368121	0.031203099	0.03857504	0.035165202	0.062413342	0.000433936	0.029176397	0.035206594	0.002516207	0.029858207	0.030946942	0.021343516	0.005486211	0.005136364	0.002027255	0.10628522	0.07498272	0.015504431	0.040525872	0.020664198	0.021717818	0.011636715	0.04088762	0.053692974	0.000106561	0.027347656	0.03524394
Bacteroidota	D0068A-S7-MaxBin2-001	0.12639937	0.2676903	0.49607795	0.08803576	0.29240954	0.532764	0.37656972	0.1948312	0.73955524	0.33715397	0.065520555	0.47734097	0.103270546	0.14319025	0.29873514	0.18245144	0.30525053	0.07571247	0.023815928	0.09111016	0.3139836	0.48090544	0.06656096	0.14450122	0.26472417	0.24812032	0.031687148	0.20678073	0.18451266	0.29521263	0.053257544	0.0557482	0.023563216	0.24835856	0.37170625	0.005286867	0.110831276	0.011886448	0.042803586	0.10385865	0.017237967	0.09841279	0.12202666	0.37230793	0.50104344	0.375207	0.11040851	0.12097522	0.014397826	0.004261569	0.11524736	0.096064165	0.031204373	0.24292761	0.4124988	0.23736377	0.28226805	0.24852137	0.19147295	0.005935529	0.14289217	0.32089716	0.014162517	0.21920861	0.24664345	0.24729274	0.17799696	0.065330364	0.04726315	0.16411223	0.29930016	0.095380805	0.7111854	0.2710332	0.17627493	0.32599995	0.2678538	0.2692218	0.003321096	0.1790758	0.23149045
