		D0052A	D0053A	D0057A	D0058A	D0063A	D0064A	D0068A	D0069A	D0073A	D0074A	D0078A	D0079A	D0085A	D0086A	D0089A	D0090A	D0095A	D0096A	D0100A	D0101A	D0105A	D0107A	D0110A	D0111A	D0116A	D0117A	D0121A	D0122A	D0127A	D0128A	D0132A	D0133A	D0137A	D0138A	D0142A	D0143A	D0147A	D0148A	D0152A	D0153A	D0158A	D0159A	D0163A	D0164A	D0167A	D0173A	D0174A	D0177A	D0182A	D0187A	D0192A	D0198A	D0203A	D0208A	D0213A	D0270A	D0271A	D0275A	D0276A	D1030A	D1031A
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	0.139195	0.14607811	0.007739335	0.007767158	0.13741837	0.13629195	0.001153751	0.001086213	0.1304853	0.12651438	0.003974615	0.004451687	0.14854634	0.15082438	0.026046172	0.023816714	0.16174512	0.17518717	0.011970073	0.010540281	0.08901072	0.09256789	0.005462383	0.005472132	0.101561606	0.10870059	0.004909846	0.004722475	0.15286306	0.14967336	0.007203639	0.004787364	0.16944283	0.1718379	0.005216562	0.004970327	0.14963454	0.14253163	0.002797108	0.002341943	0.05629512	0.060589794	0.006481462	0.003933157	0.15338652	0.001168653	0.001531545	0.12719668	0.00505354	0.03701194	0.00274855	0.16599981	0.001600743	0.13265345	0.002486476	0.10038019	0.099170886	0.0029846	0.002556386	0.019600997	0.01843826
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	0.025858153	0.02884666	0.000104818	0.000147113	0.036929324	0.03601504	0.000665535	0.000907355	0.035668593	0.037556745	6.11E-06	3.05E-06	0.060285803	0.057224542	3.74E-05	8.39E-05	0.070221014	0.07602717	3.37E-05	3.42E-05	0.048452586	0.06004741	2.81E-06	4.20E-05	0.012421448	0.013291326	0.000111687	0.000104322	0.04808286	0.044921678	3.31E-05	3.83E-05	0.0575759	0.054779265	0.000289718	0.000324116	0.03926785	0.039900802	0.000954044	0.000793259	0.006495347	0.007619281	0.000575213	0.00057164	0.030726017	2.68E-05	1.08E-05	0.03613204	0.000142211	0.06864373	0.000405345	0.065834366	0.000612708	0.06278676	0.000225387	0.019509614	0.019252092	0.001442261	0.001526755	2.41E-05	4.97E-05
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	0.002923203	0.00361891	0.23113869	0.27736506	0.005547167	0.005590842	0.007530904	0.00452308	0.000266596	0.000286682	0.042694736	0.048995644	0.000408016	0.000397187	0.035233635	0.03704358	0.000336589	0.000381002	0.008678845	0.014065216	0.00012124	4.78E-05	0.03495855	0.03640624	0.016028157	0.017923046	0.024398973	0.02268492	0.004137701	0.003930697	0.016280115	0.00742067	0.001758597	0.002157155	0.022737157	0.025545517	0.002367891	0.002088352	0.002279708	0.002032731	0.020898372	0.02269104	0.039272584	0.022889426	0.004185479	0.000323532	0.000499407	0.002174509	0.021006992	0.001160428	0.002167966	0.000717153	0.005795833	7.15E-05	0.047416106	0.010998353	0.01194969	0.004294065	0.004020816	0.0446482	0.03939519
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	0.13919118	0.14930618	0.010352581	0.009187562	0.13665523	0.1345854	0.012751927	0.00809927	0.08933207	0.08404569	0.000163079	0.000219685	0.12105097	0.119161025	0.002168782	0.002400346	0.1364795	0.14469238	0.001001905	0.001559191	0.05573367	0.06991637	0.001857777	0.001801166	0.09213569	0.09937635	0.003268536	0.003062826	0.15214975	0.14156312	0.005360528	0.002797817	0.15998474	0.15865102	0.00966761	0.01057749	0.14931919	0.14097808	0.00880311	0.005978888	0.057225693	0.06859653	0.02668168	0.024593012	0.15147597	0.001725605	0.002582119	0.13285355	0.009323237	0.09227802	0.006393721	0.1656586	0.005368194	0.12789541	0.014060439	0.11039341	0.10283654	0.005892209	0.005793416	0.002037258	0.002116589
SAR324	D0053A-S2-MaxBin2-006	0.3102987	0.33653998	0.004699493	0.003706264	0.23643474	0.22226825	0.000238883	0.000159914	0.4074229	0.45038283	0.000156309	7.50E-05	0.38587913	0.39498815	0.000344	0.000605457	0.4269686	0.45127794	0.000166202	0.000368904	0.47761282	0.4747908	0.000362255	0.000260114	0.15181582	0.1745642	0.003362641	0.001857112	0.25351825	0.2706014	0.000441651	0.00027208	0.31835696	0.3267915	0.001450168	0.00108485	0.29393163	0.2879664	0.001004193	0.000560629	0.09922315	0.09260935	0.001928751	0.00069492	0.24780041	1.23E-05	2.20E-05	0.2547411	0.000214041	0.031764966	0.001510242	0.4117835	0.001059042	0.52176726	0.001766189	0.1397645	0.14271961	0.001073948	0.000908972	0.000331915	0.000713856
Proteobacteria	D0053A-S2-MaxBin2-036	0.17834817	0.19848606	0.004266744	0.004403419	0.11522633	0.11648181	0.002599025	0.003526487	0.21589921	0.22494306	0.002114876	0.002474885	0.17896347	0.18255565	0.011898055	0.009335777	0.18849559	0.20747474	0.016375076	0.007894281	0.1877534	0.193581	0.003921824	0.003895755	0.062375966	0.069136165	0.010163464	0.011218965	0.12974256	0.12695496	0.00464258	0.003305166	0.15489797	0.1549237	0.00630002	0.005970418	0.1362809	0.12985358	0.00583129	0.005806512	0.039495442	0.040473394	0.005470683	0.004364352	0.11932513	0.00288669	0.003815123	0.11134308	0.005014197	0.055858444	0.005231039	0.19808814	0.006190741	0.19445029	0.004020812	0.07273891	0.073487796	0.0086396	0.007970899	0.009652972	0.01034656
Proteobacteria	D0053A-S2-MaxBin2-040	0.14751144	0.17049019	0.000783397	0.000675589	0.12788284	0.13381703	0.001799265	0.001955124	0.1344789	0.12606123	9.69E-05	9.57E-05	0.12943208	0.12724437	0.000526726	0.000675645	0.13455409	0.14402573	0.000516624	0.000618401	0.0763814	0.096609175	0.000208268	0.000168119	0.06516531	0.070852794	0.002006442	0.001032931	0.13871282	0.13646545	0.000156553	0.000147471	0.13803586	0.12839083	0.002382122	0.002110333	0.13002647	0.124740094	0.013137192	0.012167696	0.043218367	0.049836315	0.002713035	0.002987076	0.14112733	2.97E-05	6.42E-05	0.123630434	0.001571117	0.1865159	0.005763733	0.1497292	0.004535406	0.11345376	0.000261034	0.115301564	0.10100697	0.017638844	0.01646953	0.000375912	0.000702975
Proteobacteria	D0057A-S3-MaxBin2-011	0.00096798	0.001582219	0.9275367	1.1570596	0.002307263	0.002573464	0.02378238	0.006809226	0.000134151	9.65E-05	0.004938874	0.005421284	0.000455295	0.000812873	0.37669215	0.41404706	0.000540708	0.000517875	0.096003555	0.1437632	0.000677137	0.000153936	0.16293535	0.16237906	0.020944655	0.022638407	0.2126938	0.19592766	0.000306046	0.000374999	0.020109573	0.010461965	0.000199001	0.000110094	0.001772621	0.001558089	0.000199575	0.000128254	4.72E-05	2.41E-05	0.001252756	0.001328135	0.000615784	0.000248357	0.000261195	0.000563866	0.000767213	0.000154649	0.000241759	0.000275524	0.000366717	8.83E-05	0.000745495	8.03E-05	0.06372349	0.000614631	0.000810606	0.000184432	0.000239799	0.50063974	0.43516976
Proteobacteria	D0057A-S3-MaxBin2-044	0.000586199	0.000853053	0.31655452	0.3832543	0.001032819	0.001005133	0.010554391	0.002874522	1.34E-05	3.37E-05	0.000660739	0.000787472	8.71E-05	9.14E-05	0.05801674	0.06323561	8.43E-05	9.61E-05	0.013994197	0.022318449	0.000121292	2.29E-05	0.020262748	0.019817356	0.006948806	0.007700756	0.035842072	0.03215591	0.000969949	0.000957626	0.025340566	0.014234687	0.000535721	0.000542309	0.00404321	0.003962757	0.000362162	0.000264881	0.000473669	0.000389859	0.002198662	0.002806768	0.003536596	0.001975472	0.000247578	0.000842734	0.001329207	0.000144659	0.001592069	0.000646264	0.001195288	8.06E-05	0.001452836	0.000119574	0.10629006	0.000676811	0.001038679	0.000758571	0.000696807	0.074117206	0.06647691
Bacteroidota	D0068A-S7-MaxBin2-001	0.012898388	0.012508445	0.10922317	0.10555843	0.025103437	0.02828307	2.2679434	2.479954	0.004650997	0.004556434	0.02463885	0.024885276	0.00682839	0.006738357	0.47112438	0.525321	0.008023313	0.00714078	0.98952794	1.3571336	0.003731882	0.004263759	0.09632376	0.09919756	0.10993429	0.074458376	0.33026662	0.30610257	0.058944937	0.05646472	1.1945546	1.3118254	0.028819367	0.02823558	0.8845453	0.779404	0.027997153	0.022509273	0.75065595	0.76326466	0.2660895	0.3100759	0.3570684	0.5303562	0.038983636	0.49244812	0.55553716	0.025218714	0.48543394	1.1365554	1.9171395	0.006617761	0.8764662	0.002456228	0.922158	0.115918115	0.17764914	2.759526	2.5076113	0.36312655	0.47697058
