		zr2760_10_	zr2760_12_	zr2760_16_	zr2760_17_	zr2760_18_	zr2760_20_	zr2760_21_	zr2760_23_	zr2760_24_	zr2760_25_	zr2760_26_	zr2760_27_	zr2760_28_	zr2760_29_	zr2760_30_	zr2760_31_	zr2760_32_	zr2760_33_	zr2760_35_	zr2760_36_	zr2760_37_	zr2760_38_	zr2760_39_	zr2760_40_	zr2760_41_	zr2760_42_	zr2760_43_	zr2760_44_	zr2760_45_	zr2760_46_	zr2760_47_	zr2760_48_	zr2760_49_	zr2760_50_	zr2760_51_	zr2760_52_	zr2760_53_	zr2760_54_	zr2760_55_	zr2760_56_	zr2760_57_	zr2760_58_	zr2760_59_	zr2760_60_	zr2760_61_	zr2760_62_	zr2760_63_	zr2760_64_	zr2760_65_	zr2760_66_	zr2760_67_	zr2760_68_	zr2760_69_	zr2760_70_	zr2760_71_	zr2760_73_	zr2760_74_	zr2760_75_	zr2760_76_	zr2760_77_	zr2760_78_	zr2760_79_
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	-1.777281635	-1.950812288	-3.064782997	-2.167216605	-2.989593892	-1.773926834	-2.193769065	-2.055151344	-1.983590265	-2.109204439	-1.946430327	-1.918543703	-2.805835961	-2.002777204	-1.8889431	-2.960534179	-3.043686286	-3.219049565	-3.289567478	-2.547444537	-3.192514703	-2.980179429	-3.323258957	-3.135342654	-3.102052405	-2.823981777	-3.661873617	-3.344164114	-3.001690307	-2.885499787	-2.945265154	-3.049461564	-3.098057157	-2.760864741	-3.140134402	-3.177512289	-2.988490042	-2.917798946	-2.990273679	-3.072411157	-3.061949622	-2.568723949	-3.129118968	-3.147345452	-3.281108048	-2.906836605	-3.132857293	-3.233597306	-3.102081567	-3.368963723	-3.502007234	-3.553116244	-3.148766723	-3.992689553	-3.585173527	-4.422978929	-5.045049208	-3.343533449	-3.677549798	-5.166829385	-4.959945992	-3.212982127
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	-2.337559002	-2.848562964	-6.396237295	-2.983711731	-6.001421837	-2.68728993	-2.207439099	-3.146956034	-2.539674931	-2.808389245	-3.074876547	-2.340847501	-5.81123324	-2.683489705	-2.588759489	-5.568426721	-6.120546516	-6.127593688	-6.324775705	-5.521310929	-5.974373436	-5.962051464	-6.43263097	-6.411962139	-5.778661701	-5.75530369	-5.600677111	-6.313020365	-6.092300912	-6.07416378	-6.071608707	-6.194156956	-6.027693854	-5.78540192	-6.243688772	-6.032993875	-5.967630059	-5.92745254	-6.007494381	-6.045953933	-6.209460371	-5.229026089	-6.373534196	-5.918504908	-5.690832568	-5.996153925	-6.249718001	-6.323096389	-6.416033151	-6.578207029	-6.676837069	-6.263708641	-6.208040512	-5.279920825	-6.385453716	-7.476238794	-7.422611297	-6.371180625	-6.809903151	-6.629310085	-7.20403904	-6.208633979
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	-7.139626342	-7.516464331	-3.868268834	-7.369711599	-3.703268684	-6.338150179	-6.858418122	-6.871393071	-6.728154921	-7.287442222	-5.53563946	-6.986308779	-4.028156621	-6.665828522	-7.133333166	-3.69294069	-3.73780696	-3.507054721	-3.922298266	-4.199273304	-3.643644555	-3.55980074	-3.775420614	-3.905740035	-3.561532098	-4.016459115	-3.382605016	-3.68180172	-4.111334253	-4.064515777	-3.958272358	-3.845749755	-3.670611494	-3.417300941	-3.814308219	-3.452065893	-3.700279225	-3.970881953	-3.99213334	-3.763327478	-3.927600253	-4.286211855	-3.924981556	-4.121327633	-3.406804392	-3.704610907	-3.824431493	-3.742397284	-3.888586547	-3.645129973	-3.848955206	-3.847248746	-4.047475614	-4.333544632	-3.578373463	-3.153620202	-3.977566084	-4.025271718	-4.045918121	-4.272718162	-3.738583486	-3.988510661
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	-1.786871807	-2.337323433	-3.662526601	-2.678763412	-3.420362128	-1.792297548	-2.22216315	-2.630267956	-2.066931393	-2.445704418	-1.969073657	-1.937976556	-3.30271512	-2.002091754	-1.90917569	-3.161887902	-3.476800895	-3.498708915	-3.586689467	-2.983220987	-3.40373555	-3.215105168	-3.684685939	-3.778276905	-3.159718255	-3.116616099	-3.520253151	-3.572443601	-3.37875659	-3.320823089	-3.397185719	-3.458581556	-3.343962999	-3.028108906	-3.564295844	-3.283249	-3.365542219	-3.317000141	-3.278988607	-3.288322531	-3.433425658	-2.715157886	-3.487611257	-3.401792138	-3.144155185	-3.251542157	-3.627578431	-3.484383771	-3.633993545	-3.862500062	-3.894539045	-3.60957032	-3.461378849	-3.28392493	-3.5276733	-4.369314221	-3.971445091	-3.502971602	-3.964675592	-3.510458863	-3.551941077	-3.403608757
SAR324	D0053A-S2-MaxBin2-006	-1.072352609	-0.915631197	-3.119365727	-0.837023392	-2.803814624	-1.088787804	-0.808899727	-1.025363962	-1.051342877	-0.873987848	-1.429338109	-0.946140999	-2.875094632	-1.13702322	-1.05020248	-2.797189643	-3.066365082	-2.95058854	-3.167966788	-2.630508065	-2.83988237	-2.825232064	-2.993246984	-3.093190737	-2.614971609	-2.822647461	-2.882637348	-2.965699836	-2.607284665	-2.595941554	-3.036622791	-2.883286764	-2.977398352	-2.80844558	-3.112004236	-2.918934153	-2.876186561	-2.981728663	-3.070584686	-2.720065785	-3.112306563	-2.719631238	-2.997148256	-3.213188503	-2.655666202	-2.740011319	-3.095628612	-3.109294016	-3.143160907	-3.405924607	-3.463353335	-3.471324064	-3.209712735	-3.80042242	-3.629088158	-3.640501908	-5.310689466	-3.318397061	-3.709883339	-4.980914573	-5.342538381	-3.236551091
Proteobacteria	D0053A-S2-MaxBin2-036	-1.902274708	-2.04589365	-3.750398453	-2.207561309	-3.563440714	-1.723187121	-1.734597923	-2.143810255	-1.83343551	-2.024330437	-2.074185372	-1.744810937	-3.378810714	-1.898793578	-1.801013389	-3.373595045	-3.649604089	-3.622115561	-3.756140483	-3.094688077	-3.518722622	-3.453983695	-3.638163716	-3.738694894	-3.298617084	-3.261492893	-3.931556294	-3.621918582	-3.523238142	-3.426981421	-3.47629229	-3.525787405	-3.493237805	-3.249935702	-3.579696206	-3.475237444	-3.442832332	-3.49785478	-3.518596134	-3.411361269	-3.581610449	-2.921882085	-3.688486451	-3.634738564	-3.646775747	-3.427775152	-3.701920764	-3.6548708	-3.720401824	-3.959333557	-3.971206238	-3.892194202	-3.677848875	-3.912652754	-3.879590133	-4.629738531	-4.652240725	-3.78495983	-3.934175521	-4.62761919	-4.514818187	-3.581805252
Proteobacteria	D0053A-S2-MaxBin2-040	-2.064581454	-2.205028339	-3.441042229	-2.424576234	-2.957461338	-1.919650767	-2.29223028	-2.239962083	-2.089537737	-2.315140068	-2.001619383	-2.01314194	-2.896822489	-1.868124183	-1.980985182	-2.726806338	-3.134919378	-2.969049681	-3.125520851	-2.513212166	-2.870611408	-2.827616898	-3.059569366	-3.211027925	-2.591505572	-2.558930708	-3.642248228	-3.076472071	-3.000126032	-3.024763861	-2.952880641	-2.941636286	-2.862862777	-2.559694883	-2.988134093	-2.796110188	-2.814052106	-2.874225407	-2.850255803	-2.778057038	-2.935156481	-2.063349783	-3.004606251	-2.818127306	-3.475122766	-2.824419407	-3.236296157	-2.983183717	-3.324606659	-3.578021748	-3.458635284	-3.106461441	-3.112779345	-3.095010148	-3.679518723	-5.216779224	-5.161666345	-3.308767519	-3.803691024	-4.40048955	-5.059617052	-3.004293597
Proteobacteria	D0057A-S3-MaxBin2-011	-8.967518358	-9.258139777	-5.27599478	-9.263956045	-5.186365933	-7.800405268	-7.77753456	-8.916067566	-7.980969623	-9.365677622	-7.917063296	-8.687438599	-5.742381161	-8.372924377	-9.282808446	-5.21812747	-5.153191159	-5.028320856	-5.299037085	-5.868137123	-5.063170623	-4.99704038	-5.315787403	-5.216475847	-5.287845845	-5.87115163	-4.767930909	-4.988378138	-6.042057455	-5.886699785	-5.507566445	-5.163486693	-5.25125643	-5.176405515	-5.142395502	-4.63996134	-5.237094655	-5.578365796	-5.631151405	-5.072714921	-5.549284632	-6.007728897	-5.222724854	-5.660824801	-4.702368106	-4.965718909	-5.294297258	-5.164690553	-5.086711641	-4.553316624	-5.249071497	-4.978753634	-5.532850711	-6.08264834	-4.678454036	-4.247480637	-7.081523123	-5.312958345	-5.196931011	-6.859662405	-7.01695984	-5.202058782
Proteobacteria	D0057A-S3-MaxBin2-044	-8.803984794	-8.62504219	-6.526474194	-8.907031585	-6.347185032	-8.055104553	-9.448892655	-8.487152709	-8.473986538	-9.256475833	-6.882558013	-8.119272538	-6.739510419	-8.775848059	-8.340939759	-6.352376913	-6.471880275	-6.045855603	-6.592857682	-6.761517567	-6.324044967	-6.29445428	-6.39316776	-6.648747101	-6.436624722	-6.688916339	-4.036848972	-6.138137548	-7.682303379	-7.495497405	-6.671577286	-6.195940821	-6.407511648	-6.410220691	-6.199999624	-5.875450791	-6.552625118	-6.640396508	-6.712915322	-6.313317338	-6.679386364	-6.601589831	-6.277817903	-6.69466869	-4.484584238	-6.223433932	-6.132385	-6.351259381	-6.542519771	-6.110816578	-6.355609609	-6.349203428	-6.697889083	-5.71569858	-5.816229306	-4.028517103	-5.908237401	-6.326504202	-6.561141287	-6.062051145	-5.808945377	-6.360557823
Bacteroidota	D0068A-S7-MaxBin2-001	-4.497461998	-4.440020094	-3.804371027	-4.377948083	-3.116881805	-4.445470502	-4.598347315	-4.314069788	-4.152937975	-4.412903166	-3.060604141	-4.111587552	-3.952610913	-4.015732052	-4.149378697	-3.28501325	-3.479054993	-2.98971734	-3.420092597	-4.029600962	-3.050434002	-3.077454977	-3.143795625	-3.54737326	-3.255799672	-3.716246704	-1.030660596	-3.095532123	-3.987158867	-4.029749274	-3.748109424	-3.266109843	-3.288614564	-3.250217819	-3.167600964	-2.930702479	-3.162011417	-3.593092915	-3.467630336	-3.141785996	-3.504026969	-3.648271396	-3.172485657	-3.436685471	-1.280325115	-3.129617352	-3.541384463	-3.303955315	-3.81756851	-3.520310431	-3.562392188	-3.106959722	-3.666149586	-0.506417187	-3.275633998	-0.876162159	-0.505214279	-3.544157901	-3.793289044	0.170129199	-0.0603122	-2.942852464
