		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	-2.649079167	-4.546998547	-5.890000252	-2.461042154	-5.43937668	-5.806816199	-4.145709817	-3.838749914	-4.44356082	-4.139666667	-2.521326087	-4.522339921	-3.276330668	-2.59961928	-5.218770413	-3.833545245	-5.106164958	-2.099924443	-1.776783465	-2.145500142	-4.425229712	-4.70088988	-1.848672667	-2.697760903	-4.475006069	-4.701367369	-2.158602444	-3.003524091	-4.031985107	-3.751129353	-1.989145504	-1.998496735	-1.968607888	-3.282301286	-3.943178796	-1.410991763	-2.868749464	-1.903473788	-2.122558994	-4.875665428	-1.987227415	-4.941606099	-5.111047407	-4.66581082	-4.917846632	-4.955915218	-3.24640117	-4.868851397	-2.123637329	-2.006522503	-4.512802741	-5.282938096	-2.148915863	-4.126924305	-4.65486849	-4.01473614	-4.376361194	-4.964678999	-3.122805684	-1.948882154	-2.958422269	-4.975389832	-1.992069836	-5.06531152	-5.001242946	-4.53565765	-4.52135321	-2.115515567	-1.562276355	-3.799036209	-4.899530683	-3.061175033	-4.885052357	-4.275062086	-3.909067876	-4.246973291	-4.57933871	-4.753381257	-1.660259681	-3.821900486	-3.99441733
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	-4.168222916	-8.350555613	-8.793957217	-4.519225177	-7.64127039	-6.905472786	-10.87830176	-7.91272281	-9.846331055	-8.043568501	-4.389633655	-9.823983267	-5.334022578	-4.363230632	-6.011866213	-5.869886942	-6.258050294	-3.1488032	-2.468002265	-4.032082355	-5.84123666	-5.9558142	-3.501661405	-4.523138504	-7.203652255	-7.249080492	-4.318726931	-5.801113381	-6.903413219	-5.543977269	-3.054098289	-2.88034724	-2.547712516	-5.263346633	-5.798942526	-2.541285769	-5.713211488	-3.064163567	-4.686247387	-8.287712562	-2.976742388	-9.07978122	-10.44877865	-8.439236396	-7.798277027	-8.678362326	-4.964200473	-9.296571908	-2.025234828	-2.92200189	-9.254857519	-12.23895644	-2.594715565	-5.71593344	-9.996390959	-5.957109073	-8.59640151	-9.919362292	-4.299779	-2.538287465	-4.764690967	-9.323381755	-3.067238286	-8.730172697	-9.607658814	-7.528130551	-9.039362664	-3.371539914	-2.375166098	-6.259910375	-8.403394036	-4.899254442	-10.92094671	-9.94675587	-8.644190776	-6.43915964	-8.363039997	-8.245532046	-2.639675907	-6.380277515	-6.329040977
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	-3.257190964	-2.60818974	-3.795768916	-3.257184964	-2.555405799	-2.502644752	-3.358066027	-3.404576565	-3.53808957	-3.396021649	-3.939088648	-3.114095155	-3.074160281	-3.683109731	-2.91356282	-2.878647135	-2.788986579	-4.535220239	-5.440514542	-3.77666933	-2.995136371	-3.200004881	-4.334646989	-3.540214134	-3.423704896	-3.129730655	-3.976359307	-2.643146545	-2.845486763	-3.194996445	-4.829691811	-5.096535725	-5.649617239	-3.26322301	-3.118841119	-7.816275083	-3.074118922	-5.61230681	-3.758891016	-2.628366467	-5.468055539	-2.76019392	-2.85111897	-3.684119759	-3.483984113	-3.777264778	-3.300862728	-3.285746236	-6.159008032	-6.515124783	-2.822922629	-2.295771548	-6.410192905	-2.718089613	-2.689662972	-2.627943266	-2.750409924	-3.489368846	-3.60881874	-6.698570216	-3.586140897	-3.609540095	-5.112932556	-3.336373757	-3.441066362	-3.103351895	-2.907543646	-5.199207759	-8.789019435	-2.716934172	-3.168273518	-3.6638658	-3.719764443	-3.302144641	-3.271144648	-4.02160397	-3.696006874	-3.687591124	-8.433207989	-3.519875754	-3.366038126
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	-2.222962864	-5.103073003	-5.848005274	-2.276488968	-3.628215831	-2.829222551	-5.81128692	-5.108436321	-5.733494909	-4.87779478	-2.430197455	-5.377530502	-2.423216495	-2.246922153	-3.516741037	-2.907393593	-4.009137006	-1.767700378	-1.481596737	-1.980172438	-3.684985286	-3.305028362	-1.673148025	-2.649526208	-3.68655839	-3.483451453	-2.062661352	-2.792150313	-3.45794794	-2.737454239	-1.650467736	-1.760753301	-1.751443504	-2.667373419	-3.191411301	-1.191618102	-2.830356472	-1.928495137	-2.456103391	-4.212376759	-2.111849029	-4.744726435	-5.013013861	-4.590520814	-5.018535458	-3.656528244	-3.520529075	-5.699839478	-2.165595015	-2.221270109	-5.329007941	-5.764228262	-2.110293808	-3.763485723	-5.543163627	-4.034456437	-4.704037936	-5.049804905	-2.985241871	-2.004083258	-3.109647701	-5.145201062	-2.229110391	-5.236557013	-5.23060956	-3.637501745	-4.611961898	-1.91153802	-1.183617059	-2.915574754	-4.623212575	-3.118589026	-6.194806402	-6.552434792	-5.430457841	-4.694033422	-5.699009882	-5.595358701	-1.463787424	-4.008636609	-4.064795119
SAR324	D0053A-S2-MaxBin2-006	-2.021492904	-3.986443365	-5.260341177	-1.493890436	-5.559292544	-8.294099161	-6.527335742	-5.33604561	-8.539707088	-4.896484808	-2.284851713	-7.866399568	-2.268355362	-2.159789747	-4.817511665	-2.699678006	-4.607606902	-1.443411736	-0.975735234	-1.545716908	-3.778872829	-4.088798072	-1.236974654	-1.999959599	-5.083852599	-5.28761979	-1.688037273	-2.281322835	-3.592010236	-3.203272714	-1.242586922	-1.042423275	-1.011457709	-2.348893873	-3.322716468	-0.680337376	-2.28596113	-0.929333163	-1.7211032	-6.049717795	-1.218776504	-8.245747747	-8.739576032	-5.717724403	-5.245367182	-6.030787957	-2.672236135	-7.216639252	-0.75801051	-1.034145361	-4.876944094	-9.683461496	-1.433702996	-3.525685638	-7.23115245	-3.651805621	-5.952188643	-6.47524235	-2.413609608	-0.85029772	-2.381728727	-6.430603819	-1.620277646	-6.194391341	-7.364402267	-5.172111538	-7.880283085	-1.746089534	-0.781520792	-2.834680047	-5.597811784	-2.589725699	-9.558405204	-7.005908882	-5.303785188	-2.79369239	-4.360380296	-4.406468437	-0.583435025	-3.100646378	-3.395186752
Proteobacteria	D0053A-S2-MaxBin2-036	-3.076419082	-4.621219185	-5.50013225	-3.240356619	-5.323765542	-5.545273756	-5.024352146	-4.807205468	-4.89078972	-4.94374886	-3.296190441	-5.027749551	-3.915037645	-3.501981684	-4.860653371	-4.210246578	-4.845788536	-2.415504763	-1.71735853	-2.518894786	-4.552626409	-4.606310336	-2.283493983	-3.171937231	-4.958010634	-5.002900336	-2.769375155	-3.748475925	-4.381654624	-3.982975761	-2.282046158	-2.329657352	-2.006262971	-3.889118136	-4.388696066	-1.579192739	-3.663703095	-1.664543934	-2.588391978	-5.334449459	-1.954786238	-5.413312233	-5.559470465	-4.698600374	-4.591381291	-4.75176586	-3.711121259	-5.550935378	-1.609229829	-1.71621754	-5.471137644	-5.989074845	-2.107979042	-4.171013124	-5.130009427	-4.2121988	-4.924735214	-4.932419249	-3.234547207	-1.666343341	-3.268818952	-4.86809851	-2.219324758	-5.036510488	-5.109998944	-4.802102401	-5.338664682	-2.776984755	-1.500739121	-4.182327742	-5.144814954	-3.925824357	-5.1228554	-5.086726451	-4.900407259	-4.150304243	-4.520074359	-4.687439262	-1.780389764	-4.158745109	-4.233457951
Proteobacteria	D0053A-S2-MaxBin2-040	-2.94069918	-5.990034131	-6.120303879	-3.24950564	-8.713246884	-10.18041856	-6.500125715	-5.327785395	-7.784481967	-5.924675548	-2.868177387	-7.469537587	-4.221321369	-3.451633854	-7.099702413	-5.197966711	-7.213665818	-2.478290811	-1.885093586	-2.724668254	-5.410049471	-4.940308293	-2.360303818	-3.064870777	-6.882629394	-7.203205176	-2.613709523	-3.823275357	-5.477137213	-3.859007874	-2.42416464	-2.603687199	-2.31048047	-4.275018597	-4.684569842	-1.913971165	-3.814866849	-2.131790543	-2.804744494	-6.725581733	-2.160922896	-8.529943533	-8.280176834	-6.385547736	-5.759224764	-6.387814465	-3.818093369	-7.829384862	-2.018206614	-2.244908237	-6.824530286	-9.548887957	-2.098732624	-4.537511351	-8.462066479	-4.685061913	-6.650602107	-6.87354962	-3.528027257	-1.983610327	-3.429394809	-6.902863364	-2.125946143	-6.552011508	-7.239117036	-6.077962572	-6.658169934	-2.705608869	-1.964021965	-4.797802597	-7.312942726	-4.127978453	-7.913306634	-7.122819742	-5.914789362	-4.137577962	-5.813867533	-6.053696482	-2.278160955	-5.166533022	-5.182690324
Proteobacteria	D0057A-S3-MaxBin2-011	-7.196541427	-6.02355907	-6.373126453	-7.406075835	-4.681245292	-3.09259145	-8.126357777	-8.51516495	-8.318595111	-8.066689296	-8.349269835	-7.884104263	-6.196313372	-6.520893749	-5.211819465	-5.510550157	-5.1331124	-7.061749704	-8.153192819	-6.469108941	-5.412866188	-5.542663257	-7.282050989	-5.892952444	-4.73753289	-4.289235698	-7.218887421	-4.460119039	-4.315102985	-6.750653415	-7.578470351	-7.627207791	-7.921558707	-5.662691876	-6.504624226	-8.91212972	-4.754042886	-6.233151469	-4.706583945	-3.01391598	-5.800546975	-3.172428498	-3.279296728	-5.540779068	-5.354647747	-5.533255021	-2.622990281	-2.318113487	-6.131576769	-6.177896878	-2.520693828	-1.862864263	-6.607832184	-2.823111434	-1.742772062	-2.730358527	-2.518522906	-4.625841575	-5.055614606	-7.380966768	-5.044099052	-4.954697521	-8.069496299	-4.778393379	-4.832176563	-7.475533514	-7.613267391	-8.938750182	-9.53137587	-5.025221203	-5.489676923	-8.076369691	-7.880608876	-7.822622275	-7.752945209	-8.640956391	-7.793543819	-7.686982554	-10.59064479	-7.87755212	-7.708456624
Proteobacteria	D0057A-S3-MaxBin2-044	-3.371672959	-1.14564075	-1.313786179	-4.534943529	-0.0321937	0.576776498	-4.688559947	-5.131412201	-4.155507922	-4.683876004	-5.91577639	-4.642583621	-1.505479144	-2.23751689	-0.30175579	-0.285124411	0.074232787	-4.130455422	-6.103434546	-2.291704987	-0.532106291	-0.496324441	-2.788766089	-3.093584139	-1.789086838	-1.559997574	-4.476878559	-1.556706331	-1.700391754	-2.209269346	-3.970297878	-4.008177747	-5.156591441	-1.851596095	-2.344006736	-7.499430033	-1.73263675	-6.782881972	-4.61430367	-2.82639402	-6.526475219	-3.149394516	-3.220680427	-3.132182573	-3.014807841	-3.039045264	-4.963547292	-4.434004458	-7.637090209	-8.832613229	-3.632228949	-4.056711956	-7.015046546	-3.511037516	-3.301928656	-3.46723783	-3.255149818	-3.347698236	-2.773976196	-7.742610343	-3.534395184	-3.346521856	-5.985002153	-3.511295502	-3.475481057	-3.847007239	-5.205517189	-5.271409648	-6.201072322	-2.241629034	-2.590497579	-4.16662936	-3.205814669	-3.879352593	-3.829622203	-4.453590007	-3.196927927	-2.924473105	-9.146784052	-3.599124421	-3.345461651
Bacteroidota	D0068A-S7-MaxBin2-001	-2.068308774	-1.31792456	-0.701022205	-2.430012172	-1.229599922	-0.629676728	-0.976652067	-1.635621731	-0.301706299	-1.087215566	-2.725391354	-0.73952422	-2.270403065	-1.943581106	-1.208197914	-1.701271218	-1.186622426	-2.58081239	-3.737400636	-2.395685944	-1.158414521	-0.732084617	-2.709637044	-1.934467322	-1.329066859	-1.393841485	-3.451844075	-1.576096318	-1.690037195	-1.220059399	-2.932615794	-2.886910138	-3.748068385	-1.392881767	-0.989651384	-5.242529212	-2.199746261	-4.432356267	-3.151133371	-2.264724429	-4.060640886	-2.318584494	-2.103515725	-0.988033996	-0.691062473	-0.980277403	-2.203568056	-2.112169539	-4.240677987	-5.458117712	-2.160674495	-2.342738915	-3.467197002	-1.414991777	-0.88552198	-1.438161416	-1.264898124	-1.392226437	-1.653008728	-5.126798954	-1.945664982	-1.136634578	-4.257156382	-1.517731441	-1.399811503	-1.397182458	-1.725988802	-2.728298343	-3.052024336	-1.80720475	-1.206308326	-2.349877916	-0.340822122	-1.305513953	-1.735710395	-1.120858048	-1.317313966	-1.3122197	-5.707460039	-1.719946094	-1.463216655
