		zr2760_10_	zr2760_12_	zr2760_16_	zr2760_17_	zr2760_18_	zr2760_20_	zr2760_21_	zr2760_23_	zr2760_24_	zr2760_25_	zr2760_26_	zr2760_27_	zr2760_28_	zr2760_29_	zr2760_30_	zr2760_31_	zr2760_32_	zr2760_33_	zr2760_35_	zr2760_36_	zr2760_37_	zr2760_38_	zr2760_39_	zr2760_40_	zr2760_41_	zr2760_42_	zr2760_43_	zr2760_44_	zr2760_45_	zr2760_46_	zr2760_47_	zr2760_48_	zr2760_49_	zr2760_50_	zr2760_51_	zr2760_52_	zr2760_53_	zr2760_54_	zr2760_55_	zr2760_56_	zr2760_57_	zr2760_58_	zr2760_59_	zr2760_60_	zr2760_61_	zr2760_62_	zr2760_63_	zr2760_64_	zr2760_65_	zr2760_66_	zr2760_67_	zr2760_68_	zr2760_69_	zr2760_70_	zr2760_71_	zr2760_73_	zr2760_74_	zr2760_75_	zr2760_76_	zr2760_77_	zr2760_78_	zr2760_79_
Thermoplasmatota	1903c117-100m-2-MaxBin2-002-Lasker2019	0.16909719	0.14215855	0.046663966	0.11449586	0.050307862	0.16966543	0.11149572	0.12807345	0.13757442	0.121334456	0.14278285	0.14682062	0.06045621	0.13495995	0.15123156	0.051791243	0.04765888	0.03999305	0.037269965	0.078281455	0.041068465	0.05078372	0.036035202	0.04348485	0.044956837	0.059369076	0.025684344	0.0352897	0.049702983	0.05582688	0.052588113	0.04738443	0.04513681	0.06323706	0.04327698	0.041689236	0.050363425	0.054052528	0.050273675	0.04630936	0.04679637	0.07663327	0.04375633	0.04296603	0.037586585	0.05464833	0.04359306	0.039415453	0.044955526	0.034425292	0.03013683	0.028635265	0.042905007	0.018450024	0.027731854	0.011998436	0.006441142	0.035311963	0.025284851	0.00570262	0.007013306	0.040236443
Actinobacteriota	1903c122-100m-2-MaxBin2-021-Lasker2019	0.09656306	0.057927504	0.00166782	0.050604653	0.002475229	0.06806515	0.10998194	0.042982765	0.07889204	0.060302045	0.04619533	0.096246034	0.002993735	0.068324305	0.07511316	0.003816479	0.002197254	0.002181824	0.001791367	0.004000599	0.002543094	0.002574624	0.001608213	0.001641799	0.003092851	0.003165944	0.00369536	0.001812549	0.002260201	0.002301569	0.002307457	0.002041322	0.002411047	0.003072074	0.001942675	0.002398302	0.002560301	0.002665262	0.002460244	0.00236742	0.002010321	0.005358741	0.001706118	0.002689217	0.003376779	0.002488303	0.001930998	0.001794378	0.001635129	0.001390339	0.001259755	0.00190417	0.002013177	0.005092833	0.001685902	0.000566383	0.000597586	0.001710138	0.001102799	0.001321073	0.000743575	0.002011983
Proteobacteria	1903c122-5m-2-MaxBin2-008-Lasker2019	0.000793047	0.000544052	0.020894509	0.000630049	0.024642844	0.001767568	0.001050574	0.00103703	0.001196738	0.000684075	0.003943685	0.000924452	0.017807124	0.0012737	0.000798054	0.024898674	0.023806253	0.029985098	0.019795546	0.015006477	0.026156839	0.028444491	0.022927444	0.020126054	0.028395286	0.018016646	0.033958875	0.02517757	0.016385896	0.017171301	0.019096076	0.021370372	0.025460895	0.032800846	0.022052964	0.03168012	0.024716623	0.018856794	0.018460289	0.023206392	0.019690868	0.013756939	0.0197425	0.016222961	0.033146955	0.02460979	0.021830842	0.023697225	0.020474264	0.026118014	0.02130198	0.021338362	0.01746641	0.013120955	0.027921075	0.042697273	0.018731173	0.01785857	0.017493635	0.013943829	0.023787774	0.018527286
Actinobacteriota	1903c123-70m-2-MaxBin2-008-Lasker2019	0.16748327	0.09658581	0.025667578	0.06864799	0.03270059	0.16657701	0.108374424	0.07205915	0.12657359	0.086665064	0.1395861	0.14399502	0.03678316	0.13505249	0.1482025	0.04234572	0.030906124	0.030236395	0.027689846	0.050629493	0.033248834	0.04015111	0.025105057	0.02286205	0.042437695	0.044306844	0.029591942	0.028087135	0.034089815	0.036123086	0.033467323	0.031474374	0.035296798	0.048407093	0.028316917	0.0375062	0.03454328	0.036261447	0.037666332	0.037316393	0.032276183	0.0661945	0.030573817	0.033313513	0.043103322	0.038714457	0.026580472	0.030672653	0.026410501	0.021015393	0.020352753	0.027063472	0.031386454	0.037480857	0.029373178	0.012659919	0.018846178	0.030107781	0.01897419	0.029883198	0.028668936	0.03325305
SAR324	D0053A-S2-MaxBin2-006	0.3422025	0.4002639	0.044185184	0.43299747	0.060578536	0.3366243	0.4453478	0.3586659	0.34946814	0.41728416	0.23946737	0.38823634	0.0564108	0.32077247	0.3498669	0.0609812	0.046590198	0.05230891	0.042089086	0.07204185	0.058432538	0.059294894	0.050124418	0.045357	0.073169865	0.059448346	0.05598691	0.051524397	0.073734485	0.074575625	0.04799671	0.055950563	0.05092515	0.060298648	0.044511653	0.053991202	0.056349237	0.050705105	0.04639402	0.06587042	0.044498198	0.06589905	0.04992925	0.04022814	0.07025202	0.064569615	0.04524656	0.044632453	0.0431462	0.03317613	0.031324543	0.031075856	0.040368207	0.022361323	0.026540373	0.02623917	0.00493852	0.036210828	0.024480378	0.006867778	0.004783711	0.0392992
Proteobacteria	D0053A-S2-MaxBin2-036	0.14922878	0.12926462	0.023508376	0.1099685	0.028341142	0.17849635	0.17647114	0.1172074	0.15986341	0.13208225	0.12565875	0.17467801	0.03408797	0.14974917	0.16513146	0.034266226	0.02600142	0.026726075	0.023373777	0.045289136	0.029637268	0.031619422	0.026300594	0.023785124	0.036934208	0.03833113	0.019613124	0.02673134	0.029503742	0.03248485	0.030921847	0.029428625	0.030402275	0.0387767	0.027884167	0.030954482	0.031973995	0.030262232	0.029641017	0.032996252	0.027830841	0.053832274	0.025009826	0.026390832	0.026075065	0.032459076	0.024676083	0.025864838	0.024224231	0.019075822	0.01885068	0.020400533	0.02527729	0.019987408	0.02065929	0.009757309	0.0095402	0.022709774	0.01956182	0.00977801	0.010945594	0.02782542
Proteobacteria	D0053A-S2-MaxBin2-040	0.12687138	0.1102474	0.032031283	0.08851562	0.051950634	0.14665817	0.10104086	0.10646254	0.123744324	0.09875235	0.1351163	0.13356835	0.055198334	0.15441304	0.13793328	0.06542791	0.04350326	0.051352087	0.043914054	0.08100761	0.05666427	0.059153654	0.04690789	0.04031515	0.074907176	0.077387445	0.026193388	0.046121683	0.049780793	0.048569288	0.05218915	0.052779295	0.057105046	0.07732833	0.050381355	0.061047062	0.059961528	0.056459855	0.057829525	0.062159162	0.053122405	0.12702774	0.049558263	0.05971767	0.030958032	0.0593431	0.03930922	0.05063138	0.03598667	0.027930897	0.031472683	0.044759057	0.044477165	0.045274552	0.025235116	0.005424772	0.005732139	0.036561206	0.022288352	0.01227133	0.006347989	0.04957376
Proteobacteria	D0057A-S3-MaxBin2-011	0.000127483	9.53E-05	0.005112867	9.48E-05	0.005592292	0.000409568	0.000419043	0.000134214	0.000341907	8.56E-05	0.00036447	0.000168691	0.003207122	0.000231038	9.30E-05	0.005417463	0.005780926	0.006549798	0.004996402	0.002828136	0.006325471	0.006757917	0.004913407	0.005426418	0.005052632	0.002819623	0.008497944	0.00681671	0.002376663	0.002776122	0.004055965	0.005721714	0.005240928	0.005648272	0.005843673	0.00965807	0.005315677	0.003778735	0.003584445	0.006265386	0.003890238	0.002459667	0.005392614	0.003479645	0.009073763	0.006972935	0.00502014	0.00571483	0.006178302	0.010532214	0.005252392	0.006882635	0.003954698	0.002282124	0.009293369	0.014300215	0.000840491	0.004927327	0.00553352	0.001049267	0.000896546	0.005505218
Proteobacteria	D0057A-S3-MaxBin2-044	0.000150133	0.000179552	0.001464158	0.000135432	0.00175167	0.000317476	7.88E-05	0.000206098	0.00020883	9.55E-05	0.001025516	0.000297744	0.001183225	0.000154417	0.000238547	0.001742599	0.001546315	0.002367653	0.001370118	0.00115747	0.001792677	0.001846516	0.001672947	0.001295643	0.001601803	0.00124463	0.017653009	0.00215894	0.000460911	0.000555579	0.001266399	0.002037684	0.001649122	0.001644661	0.00202943	0.002807527	0.001426365	0.001306508	0.001215116	0.001812011	0.001256548	0.001358206	0.001877492	0.001237491	0.011281576	0.001982425	0.002171395	0.001744548	0.001440852	0.002218737	0.001736975	0.001748138	0.001233512	0.003293848	0.002978815	0.017800706	0.002716971	0.001788273	0.00141427	0.002329617	0.003000592	0.001728401
Bacteroidota	D0068A-S7-MaxBin2-001	0.011137226	0.011795701	0.022273201	0.012551085	0.044295073	0.011731584	0.010068461	0.013378988	0.015718168	0.01211994	0.046859376	0.016381746	0.019204494	0.01802975	0.015774213	0.037440088	0.030836537	0.050301652	0.032709405	0.017781423	0.047338374	0.046076372	0.043118823	0.02880019	0.03854998	0.024325095	0.3567712	0.045250926	0.018552348	0.017778786	0.023562249	0.038154565	0.037305497	0.038765762	0.042104486	0.05335954	0.04234049	0.027513102	0.031190854	0.043205563	0.030076023	0.026036095	0.04189932	0.03217114	0.27794692	0.043734528	0.028973186	0.03673757	0.021981182	0.029590247	0.028370874	0.04473676	0.025574753	0.6026509	0.0377929	0.41637784	0.60337627	0.028892942	0.022521405	1.185458	0.94147056	0.052715145
